N,P,K,S,Fe,Zn,temperature,ph,rainfall,label
114,36,34,21,6,12,24.95617911,8.101090461,281.5685856,rice
92,39,16,25,4,31,23.33195677,7.314632598,68.6748831,maize
67,59,78,13,10,43,18.7529906,7.44298986,92.08920601,chickpea
11,58,14,7,7,61,26.40515775,7.373531933,40.26676152,lentil
10,14,39,30,3,3,21.0953616,6.076303262,104.3137712,pomegranate
109,91,52,26,56,12,29.13082774,7.251736817,104.3156787,banana
10,15,36,30,69,65,35.01221671,6.60970646,96.27863704,mango
7,126,200,31,31,45,21.83911865,6.993283221,75.54743579,grapes
4,128,204,37,60,19,22.466685,6.093677729,112.1301277,apple
24,19,18,29,11,5,25.68719304,7.267159898,111.1892584,orange
111,38,33,4,89,29,26.71834015,5.938303038,174.7878237,cotton
97,39,30,58,4,3,26.94837567,6.941745509,109.9216857,coffee
112,47,43,18,4,1,22.83842128,9.287947352,209.2771089,rice
99,42,21,27,72,31,24.73263178,7.121010048,69.26187602,maize
51,70,82,9,11,45,17.77676492,6.374912822,66.93351517,chickpea
20,56,20,10,7,43,26.31348822,6.747934517,54.15051389,lentil
8,13,31,28,8,3,21.33989449,6.673105696,105.2848227,pomegranate
92,86,45,25,75,18,25.68512602,5.851921,111.8311257,banana
14,27,27,53,54,2,30.91086392,7.085079023,89.51064832,mango
19,135,197,36,34,39,18.96000111,6.966341713,72.44520411,grapes
5,130,202,40,104,40,22.64624759,7.431496059,108.3953758,apple
38,5,16,43,15,10,25.54222181,7.090968283,102.5791828,orange
109,34,24,2,108,46,27.30724861,8.272608424,95.94675156,cotton
96,41,17,23,5,2,25.91830657,5.78766273,190.5026235,coffee
20,26,37,36,8,75,32.24580243,5.788784276,86.44300526,rice
54,47,18,23,4,24,23.21643112,6.372866548,191.8105972,maize
61,60,81,9,4,39,17.69743322,8.409744796,74.18529602,chickpea
6,59,27,13,13,57,24.40363383,7.239418088,42.08742094,lentil
16,11,35,33,2,3,21.97087443,8.069979871,99.48976116,pomegranate
102,70,53,38,59,17,29.45141498,7.007539636,122.1151623,banana
0,38,26,49,57,74,29.86927832,5.86165461,96.7247228,mango
24,128,200,48,33,49,23.06458443,7.294780982,73.48141121,grapes
32,136,200,47,80,30,20.41495267,6.500195533,114.8215667,apple
7,5,5,29,11,7,16.5930028,6.454535681,100.6536033,orange
132,55,17,8,103,27,22.20700328,8.832521169,72.19198948,cotton
10,36,33,48,51,78,26.99675476,7.422212242,121.5342653,coffee
93,39,43,20,3,3,20.51670865,6.304110416,180.0644773,rice
93,75,49,25,72,20,22.53146588,7.429385024,102.0771058,maize
51,71,81,9,9,29,18.86846489,8.571852837,59.30521564,chickpea
6,59,22,10,11,64,19.23793039,7.818647058,46.38529648,lentil
8,24,34,24,4,3,19.91195778,6.026821291,110.0684843,pomegranate
91,80,52,40,55,13,27.38897444,7.363541029,114.9242745,banana
88,21,17,39,5,27,21.58002192,5.762372601,94.81686176,mango
26,143,198,30,41,37,22.55978865,7.406112287,67.89589131,grapes
12,143,201,3,61,46,21.19949674,7.48957832,195.3277167,apple
5,15,5,46,9,13,9.525917568,7.325044266,85.91544389,orange
109,52,21,8,105,30,20.91520489,8.443302018,72.91402733,cotton
97,23,26,22,1,3,22.67511079,6.234287268,194.6167429,coffee
87,38,40,22,5,4,22.22556708,6.990916628,104.3300871,rice
102,40,28,25,71,1,27.61001645,6.37377577,82.91061342,maize
45,81,85,11,6,39,17.07320992,6.2787712,101.0592796,chickpea
3,83,24,10,8,39,23.78555067,8.002553761,45.338902,lentil
26,21,34,29,5,4,20.99587884,7.881672813,108.2584373,pomegranate
102,87,44,43,55,12,27.77459189,6.38649727,125.0406146,banana
24,20,43,42,5,78,35.41384518,5.725891583,86.736554,mango
2,134,203,38,37,40,29.48513705,6.062429624,70.3793536,grapes
20,123,201,43,70,37,23.67043817,6.372066495,115.6229899,apple
1,7,10,33,11,6,17.14649353,8.085694746,114.1409679,orange
124,49,18,9,109,27,26.86922866,8.830913891,61.44896179,cotton
119,22,27,34,75,51,24.94945701,7.478458109,137.027264,coffee
2,49,22,8,42,33,25.3436919,6.048323573,70.40595004,rice
99,56,21,26,83,27,27.17702969,5.945602062,94.62053049,maize
32,67,79,13,11,33,16.7578615,6.889185221,85.93664879,chickpea
2,84,17,12,9,68,20.07125072,7.436702498,37.19826559,lentil
48,19,28,18,3,3,21.3307178,7.678871841,115.3712383,pomegranate
107,85,26,24,48,5,29.74245347,6.263207006,102.3899091,banana
26,20,21,56,54,66,26.01829852,5.61550102,95.2876887,mango
24,143,205,35,52,41,23.25609442,6.508842897,75.94548139,grapes
26,141,201,49,66,47,21.97738846,6.556997516,114.8983141,apple
99,16,13,36,11,10,20.42831283,8.365242372,97.61062761,orange
140,36,19,7,102,46,24.95522213,6.903299491,84.56843763,cotton
14,14,41,45,57,78,26.9269429,6.106831812,94.67078222,coffee
24,28,14,9,133,10,26.13662321,5.940616283,113.3743485,rice
98,54,16,31,77,37,23.90490103,7.275311378,67.09325085,maize
56,70,79,9,12,34,16.66144732,8.601146969,69.34488604,chickpea
92,48,22,24,10,32,23.79458438,7.498174419,39.4663251,lentil
105,28,41,27,2,1,20.9480074,6.209871867,100.5821956,pomegranate
107,67,54,29,67,15,30.91079747,7.319585842,113.9170614,banana
